total_transactions,sent_received_ratio,transaction_density,value_range_sent,value_range_received,avg_value_ratio,total_ether_moved,balance_ratio,fan_in,fan_out,fan_in_out_ratio,unique_address_ratio,is_hub,active_lifespan_hours,avg_time_between_sent,avg_time_between_received,time_regularity,is_short_lived,contract_interaction_rate,contract_value_ratio,created_contracts_flag,erc20_activity_rate,erc20_sent_received_ratio,erc20_unique_tokens_sent,erc20_unique_tokens_received,erc20_token_diversity,erc20_avg_value_ratio,high_value_low_frequency,rapid_drain_indicator,dormancy_score,anomaly_score,FLAG
254,0.032520325203119836,0.0006580959088250092,299.99,81.26793900000003,30.749852193290046,1663.6020477000002,2.433102318907158e-06,4,3,1.3333333328888888,0.027559055118001736,1,6432.699666666666,3716.41,1448.09,2.5664219765328355,0,0.0,0.0,0,0.031496062992125984,0.0,0.0,8.0,8.0,0.0,11.970313972413855,0.9999951338228306,8.5497571822895,0.17314651554998406,0
16,0.0,8.044233227459492e-05,0.0,1.002069,0.0,12.30665958,0.9999999999187432,4,0,3999999999.9999995,0.249999999984375,0,3315.0041666666666,0.0,12431.27,0.0,0,0.0625,0.0,1,0.125,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.428050790518311,0.6416929406910189,0
9,3.49999999825,0.0001150930757703755,0.133441,0.17015899999999998,0.20859178355837282,0.623099657,0.15602226987580853,2,4,0.499999999875,0.6666666665925925,1,1303.2930000000001,9520.7,5776.32,1.6482293224749238,0,0.0,0.0,0,0.3333333333333333,0.0,0.0,2.0,2.0,0.0,5.791084301438015,0.7300704747135234,9.635478687241395,0.08558582544194517,0
56,1.3333333332777777,0.00010369181754906243,1100.0,1499.9995800000004,1.3265710875949968,5124.995099000001,-0.2776553576172936,11,21,0.5238095237845805,0.5714285714183673,1,9001.031666666668,14106.66,3742.82,3.7689923640453538,0,0.0,0.0,0,0.5892857142857143,0.9517886094808922,4.0,26.0,30.0,5.330016212025679,13.802107135129237,1.7687614507699732,9.789785677602538,0.3579949158862202,0
37,11.333333329555556,0.0014339795801307789,0.933444,0.908156,0.08342772050652976,3.096947321,0.028008679509596124,3,13,0.2307692307514793,0.4324324324207451,1,430.03866666666664,757.91,11.08,68.40342959671449,0,0.02702702702702703,0.0,1,0.10810810810810811,5000.0,1.0,0.0,1.0,999.9999999999999,3.461687436056205,0.9455088650865117,6.646377527750411,0.15393134255011684,0
114,0.9999999999824563,0.0004059779469218022,0.261652,0.261652,0.9979413027702092,23.2335628,0.0010304059779832643,2,2,0.9999999995,0.035087719297937824,0,4680.0571666666665,3.13,4923.24,0.0006357601904435624,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.219568964266865,0.9979413094171107,8.50256065613192,0.17266346573108615,0
37,2.3636363634214876,4.3911751384006427e-05,34.9,34.849999999999994,0.5974409538774627,439.51856610000004,-0.1708583883865859,6,15,0.39999999997333335,0.5675675675522279,1,14043.317500000001,27681.45,11171.03,2.4779675643156915,0,0.0,0.0,0,0.35135135135135137,0.9956458350133991,3.0,7.0,10.0,2.2402031287801476,12.325483631676335,1.4121331894890503,10.567552927073741,0.2871119552661583,0
5,1.49999999925,0.0021565667457407807,16.382772,12.223,0.666634926303408,55.532677,2.382381097846546e-05,1,3,0.3333333332222222,0.79999999984,0,38.641666666666666,770.29,3.82,201.64659680585166,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.36465867632907,0.9999523534771508,6.65300495476533,0.17194545113045656,0
4,0.9999999995,0.012129298320092184,99.778974,12.90223600000001,0.9999898415643568,201.9989738,5.080312937683447e-06,2,2,0.9999999995,0.99999999975,0,5.496333333333333,163.78,1.11,147.549549416622,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.334334657466497,0.9999898395940595,5.1113249181041835,0.16405903950398776,0
18,0.0,0.00015811662717557499,0.0,12.782766,0.0,101.9235724,0.9999999999901887,5,0,5000000000.0,0.2777777777623457,0,1897.3336666666667,0.0,6324.45,0.0,0,0.05555555555555555,0.0,1,0.1111111111111111,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.752336457310006,0.6405172070686665,0
14,0.9999999998571428,4.7807510027113e-05,28.950276,17.949074,2.669336903587855,215.94305425999994,-0.45494237847196545,4,3,1.3333333328888888,0.49999999996428574,1,4880.683666666667,725.77,41108.66,0.017654917479674168,0,0.0,0.0,0,0.07142857142857142,0.0,0.0,1.0,1.0,0.0,13.059232717797888,2.6693368211529203,10.641498867151837,0.4757861831700355,0
9,1.2499999996875,0.012624845696330378,2.474084,4.5,0.7997947424915224,17.497754943,0.00012830543159308747,4,5,0.79999999984,0.9999999998888889,1,11.881333333333334,91.14,64.3,1.4174183514554055,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.938637768780843,0.9997434219428865,5.052672549887314,0.16358470204348596,0
134,0.06349206349155959,0.0001500925981723202,1.9,0.48769799999999996,3.6843456786364976,53.27587621,0.6208415245767603,1,2,0.49999999975,0.022388059701325465,0,14879.703333333333,2477.34,6928.28,0.3575692668309656,0,0.0,0.0,0,0.11940298507462686,0.036156563412481156,1.0,15.0,16.0,0.5423484517755011,9.037464231771349,0.23392692601399492,9.149168975705836,0.3942726087756375,0
17,0.0,7.496309059946529e-05,0.0,11.291416,0.0,82.62366163,0.9999999999878969,6,0,6000000000.0,0.352941176449827,1,3779.637833333333,0.0,13339.9,0.0,0,0.058823529411764705,0.0,1,0.17647058823529413,0.0,0.0,3.0,3.0,0.0,0.0,0.0,9.498589783460735,0.639468856408315,0
2,0.9999999989999999,0.06525285481239805,0.0,0.0,0.9997479493899285,9.996739999999999,0.00012604108938253463,1,1,0.9999999989999999,0.9999999995,0,0.5108333333333334,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.3514432484258645,0.9997479493899285,0.0,0.12190241151969682,0
85,27.33333332422222,0.0002574292335365601,30.0,30.0,0.06516479813256307,97.34100000000001,-0.2808785609323833,3,7,0.4285714285102041,0.11764705882214532,1,5503.1305,1797.42,60933.08,0.029498262684242625,0,0.0,0.0,0,0.12941176470588237,0.0,0.0,11.0,11.0,0.0,7.99100030459578,1.7811714285205382,11.046618992808728,0.3600138724741076,0
2,0.9999999989999999,0.029040220705677362,0.0,0.0,0.9976992544536754,1.09403784,0.0011516969091748264,1,1,0.9999999989999999,0.9999999995,0,1.1478333333333335,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.986434410436441,0.9976992541175845,0.0,0.14990327694385977,0
7,1.3333333328888888,2.0683766921722134e-05,0.37963499999999994,2.337156,1.3917811923605554,12.956791176000003,-0.2996481399570525,3,3,0.9999999996666666,0.8571428570204082,1,5640.494166666667,155.22,112602.93,0.0013784721232386991,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.530395088764998,1.8557074149227675,11.633009407065547,0.37266739540260596,0
73,4.214285713984694,7.641754546843955e-05,500.0,1099.99021,0.25629456488565605,4891.798825,-0.03850707842630088,7,34,0.20588235293512114,0.5616438356087445,1,15921.3,14626.26,6594.93,2.217803676460217,0,0.0,0.0,0,0.6575342465753424,0.9935828578338762,11.0,23.0,34.0,2.185882287796733,13.24170186017202,1.0800985167172374,9.962802611366788,0.19918372091967068,0
53,0.0,0.00018186339499223013,0.0,1.002204,0.0,26.75944516,0.99999999996263,4,0,3999999999.9999995,0.07547169811178356,0,4857.1255,0.0,5498.63,0.0,0,0.018867924528301886,0.0,1,0.03773584905660377,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.612436096230379,0.6416126105918145,0
21,0.9090909090082645,3.7380543797198946e-05,19.874789,20.776336999999998,1.099850913670952,112.43745272000001,6.773917245260997e-05,8,1,7.999999991999999,0.42857142855102043,1,9363.159666666666,3.33,51068.75,6.520621710928767e-05,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.920937215535815,0.9998645308138789,10.841012827202436,0.1735947768471868,0
3,1.9999999979999998,0.0013291273835684412,0.0,0.0,0.0,1.74798122,0.9999999994279114,1,2,0.49999999975,0.9999999996666666,0,37.61866666666666,1128.56,0.0,1128559999999.9998,0,0.0,0.0,0,3.3333333333333335,0.0,0.0,9.0,9.0,0.0,0.0,0.0,7.0295834553471295,0.6451607728666111,0
12,4.9999999975,0.0005242479990109187,0.060734,0.05,0.14763999803146668,0.260734264,0.15059676180267292,1,6,0.16666666663888888,0.5833333332847223,1,381.4988333333333,2152.95,680.22,3.1650789450425374,0,0.0,0.0,0,0.16666666666666666,10.0,1.0,1.0,2.0,0.0,3.0965564333043605,0.7382284217451439,7.949504404337218,0.08165834881950372,0
694,0.0,0.0015426022165682368,0.0,22.0,0.0,1123.399095,0.9999999999991098,4,0,3999999999.9999995,0.005763688760798611,0,7498.1525,0.0,648.26,0.0,0,0.001440922190201729,0.0,1,0.002881844380403458,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.475833252811612,0.6405348431261129,0
8959,1.997323519571095,0.019904171600219636,3900.0,3140.99958,0.5071601759485018,448986.55720000004,-0.006439734955610367,1337,2212,0.6044303797465622,0.39613796182605243,1,7501.7775,45.91,58.88,0.7797214673780617,0,0.0,0.0,0,0.03627637013059493,0.9818767255299926,6.0,15.0,21.0,10.414906691211657,7.550869603824118,1.012962947737841,4.661455996998683,0.16218137421771384,0
2,0.9999999989999999,0.4106776180698152,0.0,0.0,0.0,0.003,0.9999996666667778,1,1,0.9999999989999999,0.9999999995,0,0.08116666666666666,0.0,0.0,0.0,1,0.0,0.0,0,1.0,0.0013333333333333333,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.8509100792397317,0
4443,0.015542857142853589,0.006984061093039043,520.8121679999998,3.158502,64.33778579549356,9237.614660000001,3.5719848916058185e-06,1,4,0.2499999999375,0.0011253657438665032,0,10602.713666666667,1067.84,128.81,8.290039593134926,0,0.0,0.0,0,0.0022507314877335135,0.003068099621564543,1.0,8.0,9.0,0.012272398605908879,9.182607913102977,0.9999928561897508,7.088116582400906,0.16813530489602133,0
7,0.7499999998125,2.0281506146368383e-05,5.537,3.508474,2.6388187835558794,16.6348107,-0.32865954402903663,2,3,0.6666666664444444,0.7142857141836735,0,5752.367,1051.87,85496.6,0.012303062343999497,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.10966603911612,1.9791143704103153,11.368471436957645,0.39193593740108706,0
10000,2498.99999937525,0.47154397171113405,0.0,19.0,0.0,44.0,0.9999999999772728,3,2,1.49999999925,0.00049999999999995,0,353.4488333333333,2.12,0.92,2.304347823582231,0,0.0003,0.0,1,0.0035,3.2194459594343327e-08,1.0,29.0,30.0,1.0946116262781539e-06,0.0,0.0,1.3962446919730587,0.8991192338758881,0
12,2.999999999,7.467000524556787e-05,20.0,48.995,0.3277614962494336,113.02738689,0.00842816188362091,2,4,0.499999999875,0.49999999995833333,1,2678.451666666667,17441.04,1245.91,13.99863553546083,0,0.0,0.0,0,1.0833333333333333,0.9842818434296495,1.0,9.0,10.0,3.2809394778256475,11.331225145218198,0.983284556747091,9.835634210110676,0.16801258087132348,0
21,1.624999999796875,2.6165798460553935e-05,99.0,45.4,0.9271467274377588,439.65999999999997,-0.2021107219210251,7,5,1.3999999997199999,0.5714285714013605,1,13376.24,45561.42,26284.49,1.7333956260896926,0,0.0,0.0,0,0.7142857142857143,30.050950084337302,2.0,6.0,8.0,34.343942952988435,13.5630045667836,1.5066134549515016,11.182292884319327,0.3078825706893866,0
9,0.49999999991666666,2.6494969841658996e-05,0.0,1.515068,5.062203222641094,18.833649,-0.4336042898307383,6,1,5.9999999939999995,0.777777777691358,1,5661.452,379.78,56424.63,0.006730748611023117,0,0.0,0.0,0,1.4444444444444444,0.0,0.0,13.0,13.0,0.0,12.042601202736723,2.5311001900329213,10.947386846652458,0.46163115191262105,0
39,5.499999999083333,0.00010985388813189857,20.0,51.0,0.23542904809505805,134.98328697,-0.1284871527371098,3,11,0.2727272727024793,0.35897435896515456,1,5916.950333333333,1478.05,51541.26,0.028677024969897345,0,0.0,0.0,0,0.1794871794871795,1.1,4.0,2.0,6.0,0.44,9.952771841472071,1.2948600313400804,10.878430326676169,0.25891843267176173,0
3,1.9999999979999998,0.009133810321205664,98.328328,0.0,0.49999492078712876,201.9989738,5.080312937683447e-06,1,2,0.49999999975,0.9999999996666666,0,5.474166666666666,164.22,0.0,164220000000.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.617916252034286,0.9999898395940595,5.10727791913436,0.16643160323714656,0
12,0.9999999998333333,0.0008924607149949019,9.800016999999999,9.8,0.9997778635481294,31.38267932,0.0001111791305105437,5,2,2.49999999875,0.5833333332847223,1,224.09949999999998,1790.44,450.56,3.9738103693093625,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.98310665343601,0.9997776663303983,7.715123603632105,0.17288866308492568,0
5,0.6666666664444444,1.4689312376541837e-05,0.0005039999999993938,6.995,2.9810352817274532,20.911496,-0.3305117912018102,2,2,0.9999999995,0.79999999984,0,5673.0588333333335,803.95,112925.21,0.007119313747567906,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.06789278351779,1.9873565711446632,11.641583904018264,0.39317055574805226,0
15,2.7499999993125,5.621660663295244e-05,1.9,3.805,0.4536035844937394,15.046405033,-0.11008643122772925,3,6,0.49999999991666666,0.59999999996,1,4447.0845,18649.44,15420.31,1.2094075929730848,0,0.0,0.0,0,0.26666666666666666,0.0,0.0,4.0,4.0,0.0,9.510889603074691,1.2474092653850022,10.436194523914333,0.2467398867938552,0
4024,1.2268954067508429,0.019702650574471316,1100.0,799.99874,0.8153216345805677,67723.88144,-0.00015718303918287412,1471,1205,1.220746887965792,0.6650099403576877,1,3403.9413333333337,65.85,32.24,2.042493796462702,0,0.0,0.0,0,0.001242544731610338,0.9995104013847107,1.0,3.0,4.0,3.9980416064918,6.654584889146646,1.0003144153363495,4.596028528070808,0.15816836641866833,0
17,2.39999999952,5.938262400847173e-05,224.9,174.995,0.9434361099953488,1029.625,-0.38730120189351724,5,7,0.7142857141836735,0.705882352899654,1,4771.317166666667,181.7,56819.72,0.003197833428253374,0,0.0,0.0,0,0.6470588235294118,0.0,0.0,10.0,10.0,0.0,13.817749448435375,2.264246651336247,10.950849002055802,0.4308524297220067,0
48,2.6923076921005915,4.105267614270765e-05,500.0,972.434,0.4699576613454699,5374.317027,-0.11710328501986284,6,23,0.26086956520604915,0.6041666666540799,1,19487.158333333333,23359.72,27049.27,0.8635989067357136,0,0.0,0.0,0,0.4166666666666667,1.0076263723950354,6.0,11.0,17.0,1.2315433437184344,14.552261168058699,1.2652706327185428,10.827944648703319,0.2514122131759927,0
9,7.999999991999999,4.8203844417271755e-05,24.378062,0.0,1.26889919987311,111.5119377,-0.8206470047661932,1,2,0.49999999975,0.3333333332962963,0,3111.7850000000003,20827.93,0.0,20827930000000.0,0,0.0,0.0,0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0,12.480789680265659,10.15119376898488,9.94409816471671,0.7186723705488567,0
321,1.2928571428479083,0.00033334830458377283,240.0,117.6269,0.8204863012488802,1156.2711,-0.02948971050125746,57,103,0.5533980582470543,0.49844236759969335,1,16049.279166666667,4183.18,1470.01,2.8456813218938337,0,0.0,0.0,0,0.4205607476635514,0.9581609449624928,25.0,64.0,89.0,1.6816702299503432,9.196795691177368,1.0607715566119293,8.640152142216683,0.1929912420363336,0
58,4.79999999952,0.0005953606011910292,100.0,99.89999999999999,0.2618510893437511,582.5109104000001,-0.11382291458602382,4,13,0.30769230766863903,0.2931034482708086,1,1623.6658333333332,1969.46,288.59,6.82442219062745,0,0.0,0.0,0,0.46551724137931033,3.7076246297985995e-07,2.0,9.0,11.0,1.08168549610694e-06,9.337227555841503,1.256885257941226,7.722699649910529,0.24879448402272508,0
10000,0.5206812652067334,0.013258785019036698,9000.0,12867.399672,1.9703487063793426,292548.7656,-0.012795965278890884,4848,1129,4.294065544726046,0.5976999999999402,1,12570.282000000001,76.32,74.96,1.0181430095915402,0,0.0002,0.0,1,0.0579,0.005974010056037519,7.0,85.0,92.0,0.005041760079858499,8.090790771232106,1.02592364833631,5.0257209315142966,0.17166638081363447,0
12,0.9999999998333333,0.018380382005606016,0.529969,0.53,0.9995599699524462,12.569129835,0.0002197626276473448,5,1,4.999999995,0.49999999995833333,1,10.881166666666667,26.01,82.8,0.31413043477881486,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.059988120021295,0.9995605711556578,4.698751599609622,0.1589653113479913,0
6,0.9999999996666666,0.00024455607976604137,0.369654,0.339,0.9969455714493498,0.880653612,0.0015288508218496346,1,1,0.9999999989999999,0.33333333327777775,0,408.90416666666664,8174.66,3.43,2383.2827981389846,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.39734739283598,0.9969469637257439,9.009336176464627,0.17246027195895372,0
7,2.49999999875,0.001560069356226237,5.0,5.385223,0.39968732049558997,13.7288256,0.00039107642241510617,2,4,0.499999999875,0.8571428570204082,1,74.78299999999999,628.48,672.28,0.934848574997122,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.780682187869853,0.9992181527715648,7.171472473980086,0.172173989777125,0
2,0.9999999989999999,0.8,0.0,0.0,0.9987717433404903,1.70869276,0.0006145048565580012,1,1,0.9999999989999999,0.9999999995,0,0.041666666666666664,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7262319189229621,0.9987717438864643,0.0,0.6863192050591334,0
2,0.9999999989999999,0.00022537826925265694,0.0,0.0,0.9968886279853275,0.26955786000000004,0.0015581070366187536,1,1,0.9999999989999999,0.9999999995,0,147.8995,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.393721155546529,0.9968886263718911,0.0,0.17245603084658756,0
34,0.9999999999411765,0.000140248231119185,0.119639,0.10799600000000001,0.9329479130692955,1.6711304999999999,0.0346896187732259,1,1,0.9999999989999999,0.05882352941003461,0,4040.455,22.94,14237.49,0.0016112390596936953,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.82687805461435,0.9329468108654835,9.565313969445443,0.15051882232821573,0
15,0.874999999890625,2.8243638285230805e-05,5.693,26.941001,0.16490690838729016,56.2497487,0.7478033177284614,2,5,0.39999999992,0.46666666663555556,1,8851.550833333335,7750.02,59605.36,0.13002219934582848,0,0.0,0.0,0,1.2,0.16076807374470595,2.0,15.0,17.0,1.286144588680456,10.487833302642867,0.1442935138599943,11.117752906379467,0.4786921037914986,0
31,0.8235294117162629,0.0003300975608665295,330.62347,378.5,1.2141235361229168,1351.7372186000002,6.67871179084905e-05,9,10,0.89999999991,0.6129032257866805,1,1565.1938333333335,621.07,5012.75,0.12389805994711009,0,0.12903225806451613,0.0,1,0.0967741935483871,0.0,0.0,1.0,1.0,0.0,11.893000690198795,0.9998664347319655,8.636720482751613,0.17336356388364035,0
17,1.124999999859375,4.101146528585727e-05,1.716638,1.169147,1.5547312310568426,5.955509307,-0.272481640624782,5,6,0.8333333331944445,0.6470588234913495,1,6908.637166666666,13243.1,38530.77,0.3437019296525779,0,0.0,0.0,0,1.1176470588235294,1.915934526452286e-10,1.0,5.0,6.0,0.0,9.236645098191975,1.749071516567594,10.854660175396315,0.3546083840683033,0
1054,0.02929687499997139,0.0010132964880528114,8.270786,1.9578780000000002,27.330010908411854,451.77423340000007,0.11068953413643112,1,30,0.03333333333222222,0.029411764705854448,1,17336.156666666666,5815.7,845.41,6.8791473959299285,0,0.0,0.0,0,0.014231499051233396,0.0,0.0,15.0,15.0,0.0,8.796225891184752,0.8006832140275835,8.804191530175402,0.09935120007044487,0
130,20.666666663222223,0.0005402931963371446,74.0,69.495,0.0507048875673544,156.90642423,-0.023390205665491826,4,8,0.4999999999375,0.09230769230698226,1,4010.1683333333335,1905.13,728.9,2.6137055837527594,0,0.0,0.0,0,0.06153846153846154,0.0,0.0,8.0,8.0,0.0,7.089572752738597,1.0479008213415002,7.876649846109893,0.18877628306460068,0
6,0.9999999996666666,0.0005980831435250024,10.765627,10.765,0.9998795832831037,31.68809204,6.021053579153229e-05,3,1,2.9999999969999998,0.6666666665555555,0,167.20083333333332,24.63,3319.39,0.007420038019031383,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.086013694469779,0.9998795859261672,8.115227951617697,0.17315567492623107,0
9,0.79999999984,7.461363814607327e-05,0.668126,0.668937,1.2430117618813659,1.7302128799999998,0.0028037012400440567,2,2,0.9999999995,0.4444444443950617,0,2010.3563333333334,59.56,24076.63,0.0024737681311710787,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.969513937755184,0.9944082738966264,10.091509083567813,0.17174816909873553,0
2,0.9999999989999999,6.943619889582557e-05,0.0,0.0,0.9999632499166697,23.999558999999998,1.8375337646063608e-05,1,1,0.9999999989999999,0.9999999995,0,480.05699999999996,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.059963512649434,0.9999632499166697,0.0,0.17360217280750317,0
5,1.49999999925,1.697118920007827e-05,15.000882,20.0,1.3301955998669805,59.90586873,-0.33228578687982774,2,3,0.6666666664444444,0.9999999998,0,4910.2825,56814.86,62086.18,0.9150967252293358,0,0.0,0.0,0,0.4,0.0,0.0,2.0,2.0,0.0,13.5718468509084,1.9952934364002355,11.68605523980671,0.3943469659306273,0
6,1.999999999,0.672645739910314,1501.446565,1793.8762539999998,0.4999995282353823,4001.998113,4.7140077199719774e-07,2,4,0.499999999875,0.9999999998333333,1,0.14866666666666667,2.23,0.0,2230000000.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.612987223060758,0.9999990569710145,1.172482137234565,0.585856612893301,0
52,0.8571428571122449,0.005591896911229712,4.567053,0.39925900000000025,1.1664064754008534,114.02157672999999,0.00011145793072114924,13,1,12.999999986999999,0.26923076922559175,1,154.98616666666666,52.48,287.13,0.18277435307984963,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.053863392546386,0.9997771089464562,5.830738127750617,0.1691663091301002,0
13,0.8571428570204082,4.041091685376144e-05,49.999365,23.601366,1.4405149676875904,171.07380114,-0.10503612253982658,5,2,2.49999999875,0.5384615384201183,1,5361.5875,1466.39,44699.56,0.032805468331231165,0,0.0,0.0,0,0.23076923076923078,1.0,1.0,1.0,2.0,0.5,12.873454845071757,1.2347270659266787,10.740019453106704,0.2433981909977727,0
11,1.19999999976,6.829046068558531e-05,27.514327,27.418665999999998,0.8332820022518542,137.01493956,3.080685955505445e-05,1,2,0.49999999975,0.2727272727024793,0,2684.611166666667,25905.07,1129.25,22.94006641574236,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.026884328171322,0.9999383881643605,10.204899438254284,0.17359482376106014,0
